CODEBUCH,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
edgelist,,,,,,,,
,,,,,,,,
from,,von,,,,,,
to,,bis,,,,,,
time,,year,,,,,,
,,,,,,,,
,,,,,,,,
nodelist,,,,,,,,
,,,,,,,,
id,,,,,,,,
name,,,,,,,,
nationality,,"Welche Nationalität hat er/es ? (z.B. Hafen ist Indisch, oder Schiff ist Britisch",,,,,,
type,,1 = ship ,2 = harbor ,,,,,
first voyage,,Wann war die erste Fahrt des Schiffs,,,,,,
owner,,Besitzer des Schiffs,,,,,,
fate of ship,,1 = destroyed,2 = sold,3 = lost,4 = out of order,5 = sunken,6 = captured,7 = still in service
port of registry,,Home,,,,,,